perfume,ingredient_id,ingredient,greek,membership,membership_note,claim_id,place,evidence,cite,note,route,point_source,pleiades_id,pleiades_title,pleiades_uri,lat,lon
mendesian,balanos,balanos oil / perfumers’ balanos nut,ἔλαιον βαλάνινον / βάλανος μυρεψική,member,,bal-trog,Troglodytic coast,attested-ancient,"Pliny, Naturalis historia 12.100–102","Common to the Troglodytes; the Troglodytic grade is described as the cheapest. This maps the ancient grade claim, not a modern species range.",redsea,project-plot,39435,Trogodytice,https://pleiades.stoa.org/places/39435,17.5,38.5
mendesian,balanos,balanos oil / perfumers’ balanos nut,ἔλαιον βαλάνινον / βάλανος μυρεψική,member,,bal-thebaid,Thebaid,attested-ancient,"Pliny, Naturalis historia 12.100–101",The Thebaid grade is black and abundant.,nile,project-plot,786131,Thebais,https://pleiades.stoa.org/places/786131,25.7,32.7
mendesian,balanos,balanos oil / perfumers’ balanos nut,ἔλαιον βαλάνινον / βάλανος μυρεψική,member,,bal-arabia,Arabia between Judaea and Egypt,attested-ancient,"Pliny, Naturalis historia 12.100–101",Pliny locates an Arabian grade in the tract separating Judaea from Egypt and says the Arabian kind is called ‘Syrian’. [Pleiades match: Pliny's phrase; the Nabataean zone is the referent],incense,project-plot,29677,Nabataea (region),https://pleiades.stoa.org/places/29677,29,35.3
mendesian,balanos,balanos oil / perfumers’ balanos nut,ἔλαιον βαλάνινον / βάλανος μυρεψική,member,,bal-ethiopia,Ethiopia,attested-ancient,"Pliny, Naturalis historia 12.101",Some authorities preferred an Ethiopian black grade.,redsea,project-plot,39274,Aethiopia,https://pleiades.stoa.org/places/39274,10.3,39
mendesian,balanos,balanos oil / perfumers’ balanos nut,ἔλαιον βαλάνινον / βάλανος μυρεψική,member,,bal-egypt,Egypt,attested-ancient,"Pliny, Naturalis historia 12.102","The Egyptian grade is red, thick-shelled, and associated with swampy ground.",nile,project-plot,981503,Ancient Egypt (region),https://pleiades.stoa.org/places/981503,27.4,30.7
mendesian,balanos,balanos oil / perfumers’ balanos nut,ἔλαιον βαλάνινον / βάλανος μυρεψική,member,,bal-petra,Petra,attested-ancient,"Pliny, Naturalis historia 12.102","The Petraean grade, black-shelled with a white kernel, is ranked far above the others.",incense,project-plot,697725,Petra,https://pleiades.stoa.org/places/697725,30.33,35.44
mendesian,myrrh,myrrh,σμύρνα,member,,myrrh-trog,Troglodytic coast,attested-ancient,"Dioscorides, De materia medica 1.64; Pliny, Naturalis historia 12.69–70",Both traditions rank a Troglodytic grade highly; Pliny makes it the first grade.,redsea,project-plot,39435,Trogodytice,https://pleiades.stoa.org/places/39435,16.2,39.1
mendesian,myrrh,myrrh,σμύρνα,member,,myrrh-arabia,South Arabia,attested-ancient,"Dioscorides, De materia medica 1.64; Pliny, Naturalis historia 12.66, 12.69–70","Arabian claim. Pliny’s grade names include Minaean, Atramitic, Gebbanitic, Ausaritis, Dianitis, Sambracena, Dusaritis, and Mesalum; their precise point locations are not invented here. [Pleiades match: generic 'South Arabia'; Saba is the nearest Pleiades region (cf. Minaei, 39386)]",incense,project-plot,39417,Saba,https://pleiades.stoa.org/places/39417,15.4,44.2
mendesian,cassia,cassia / cassia quill or tube,κασσία / κασία / σύριγξ,member,,cassia-arabia,Arabia — ancient claim,attested-ancient,"Herodotus, Histories 3.110; Theophrastus, Historia plantarum 9.7.2; Dioscorides, De materia medica 1.13","Herodotus, Theophrastus, and Dioscorides place cassia in Arabia or ‘aromatic-bearing Arabia’.",incense,project-plot,29475,Arabia (region),https://pleiades.stoa.org/places/29475,22.6,45
mendesian,cassia,cassia / cassia quill or tube,κασσία / κασία / σύριγξ,member,,cassia-trog,Ethiopia / Troglodytic cinnamon fields,attested-ancient,"Pliny, Naturalis historia 12.86, 12.95","Pliny rejects Arabia for cinnamon, places its fields among Ethiopian Troglodytes, and says cassia grows beside them. [Pleiades match: project point is a conventional Red Sea anchor; the Pleiades region sits at the Horn of Africa]",redsea,project-plot,39361,Kinnamomophoros Chora,https://pleiades.stoa.org/places/39361,14.6,40
mendesian,cassia,cassia / cassia quill or tube,κασσία / κασία / σύριγξ,member,,cassia-modern,South / Southeast Asia — modern correction zone,inference-modern,"Gilboa & Namdar, Radiocarbon 57.2 (2015), 265–283; Kew, Plants of the World Online","Modern scholarship moves the plausible source-zone much farther east. This is a correction register, not a forced identification of Greek κασσία with one modern species. [Pleiades match: modern botanical correction zone; no ancient place referent]",,project-plot,,,,10.4,79.6
mendesian,cinnamon,cinnamon,κινάμωμον,member,,cinn-arabia,Arabia — ancient claim,attested-ancient,"Herodotus, Histories 3.111; Theophrastus, Historia plantarum 9.7.2","The Arabian claim is plotted as the ancient authors frame it, despite their own fabulous collection stories.",incense,project-plot,29475,Arabia (region),https://pleiades.stoa.org/places/29475,21.5,46
mendesian,cinnamon,cinnamon,κινάμωμον,member,,cinn-trog,Ethiopia among the Troglodytes,attested-ancient,"Pliny, Naturalis historia 12.82–86",Pliny explicitly says cinnamon is not Arabian and instead grows in Ethiopia among the Troglodytes.,redsea,project-plot,39435,Trogodytice,https://pleiades.stoa.org/places/39435,13.3,40.7
mendesian,cinnamon,cinnamon,κινάμωμον,member,,cinn-modern,South / Southeast Asia — modern correction zone,inference-modern,"Gilboa & Namdar, Radiocarbon 57.2 (2015), 265–283; Kew, Plants of the World Online",Archaeological review places ancient cinnamon’s source-zone in South/Southeast Asia; Kew gives Sri Lanka as the native range for true cinnamon. No Greek-to-species equation is imposed. [Pleiades match: modern botanical correction zone; no ancient place referent],,project-plot,,,,8.2,81
mendesian,resin,resin / terebinth resin,ῥητίνη / τερεβινθίνη,member,,resin-petra,Petra in Arabia,attested-ancient,"Dioscorides, De materia medica 1.71",Terebinth resin is brought from Arabia at Petra.,incense,project-plot,697725,Petra,https://pleiades.stoa.org/places/697725,30.1,35.7
mendesian,resin,resin / terebinth resin,ῥητίνη / τερεβινθίνη,member,,resin-judaea,Judaea,attested-ancient,"Dioscorides, De materia medica 1.71",One of the named producing regions for terebinth resin.,incense,project-plot,687934,Iudaea (region),https://pleiades.stoa.org/places/687934,31.6,35.1
mendesian,resin,resin / terebinth resin,ῥητίνη / τερεβινθίνη,member,,resin-syria,Syria,attested-ancient,"Dioscorides, De materia medica 1.71",One of the named producing regions for terebinth resin.,syria,project-plot,981550,Syria (Roman imperial province),https://pleiades.stoa.org/places/981550,34.8,36.7
mendesian,resin,resin / terebinth resin,ῥητίνη / τερεβινθίνη,member,,resin-cyprus,Cyprus,attested-ancient,"Dioscorides, De materia medica 1.71",One of the named producing regions for terebinth resin.,med,project-plot,707498,Cyprus (island),https://pleiades.stoa.org/places/707498,35,33.3
mendesian,resin,resin / terebinth resin,ῥητίνη / τερεβινθίνη,member,,resin-libya,Libya,attested-ancient,"Dioscorides, De materia medica 1.71",One of the named producing regions for terebinth resin.,med,project-plot,716588,Libya,https://pleiades.stoa.org/places/716588,29.1,17.8
mendesian,resin,resin / terebinth resin,ῥητίνη / τερεβινθίνη,member,,resin-cyclades,Cyclades,attested-ancient,"Dioscorides, De materia medica 1.71","The Cycladic product is ranked by its clarity, whiteness, glassy appearance, and fragrance.",med,project-plot,560353,Cyclades Islands,https://pleiades.stoa.org/places/560353,37,25.3
