perfume,ingredient_id,ingredient,greek,membership,membership_note,claim_id,place,evidence,cite,note,route,point_source,pleiades_id,pleiades_title,pleiades_uri,lat,lon
nardinon,balanos,balanos oil / perfumers’ balanos nut,ἔλαιον βαλάνινον / βάλανος μυρεψική,member,Role in nardinon: base oil (Dsc 1.62: mixed for the most part with balanos oil). Ingredient-level claim reused from the project dataset.,bal-trog,Troglodytic coast,attested-ancient,"Pliny, Naturalis historia 12.100–102","Common to the Troglodytes; the Troglodytic grade is described as the cheapest. This maps the ancient grade claim, not a modern species range.",redsea,project-plot,39435,Trogodytice,https://pleiades.stoa.org/places/39435,17.5,38.5
nardinon,balanos,balanos oil / perfumers’ balanos nut,ἔλαιον βαλάνινον / βάλανος μυρεψική,member,Role in nardinon: base oil (Dsc 1.62: mixed for the most part with balanos oil). Ingredient-level claim reused from the project dataset.,bal-thebaid,Thebaid,attested-ancient,"Pliny, Naturalis historia 12.100–101",The Thebaid grade is black and abundant.,nile,project-plot,786131,Thebais,https://pleiades.stoa.org/places/786131,25.7,32.7
nardinon,balanos,balanos oil / perfumers’ balanos nut,ἔλαιον βαλάνινον / βάλανος μυρεψική,member,Role in nardinon: base oil (Dsc 1.62: mixed for the most part with balanos oil). Ingredient-level claim reused from the project dataset.,bal-arabia,Arabia between Judaea and Egypt,attested-ancient,"Pliny, Naturalis historia 12.100–101",Pliny locates an Arabian grade in the tract separating Judaea from Egypt and says the Arabian kind is called ‘Syrian’. [Pleiades match: Pliny's phrase; the Nabataean zone is the referent],incense,project-plot,29677,Nabataea (region),https://pleiades.stoa.org/places/29677,29,35.3
nardinon,balanos,balanos oil / perfumers’ balanos nut,ἔλαιον βαλάνινον / βάλανος μυρεψική,member,Role in nardinon: base oil (Dsc 1.62: mixed for the most part with balanos oil). Ingredient-level claim reused from the project dataset.,bal-ethiopia,Ethiopia,attested-ancient,"Pliny, Naturalis historia 12.101",Some authorities preferred an Ethiopian black grade.,redsea,project-plot,39274,Aethiopia,https://pleiades.stoa.org/places/39274,10.3,39
nardinon,balanos,balanos oil / perfumers’ balanos nut,ἔλαιον βαλάνινον / βάλανος μυρεψική,member,Role in nardinon: base oil (Dsc 1.62: mixed for the most part with balanos oil). Ingredient-level claim reused from the project dataset.,bal-egypt,Egypt,attested-ancient,"Pliny, Naturalis historia 12.102","The Egyptian grade is red, thick-shelled, and associated with swampy ground.",nile,project-plot,981503,Ancient Egypt (region),https://pleiades.stoa.org/places/981503,27.4,30.7
nardinon,balanos,balanos oil / perfumers’ balanos nut,ἔλαιον βαλάνινον / βάλανος μυρεψική,member,Role in nardinon: base oil (Dsc 1.62: mixed for the most part with balanos oil). Ingredient-level claim reused from the project dataset.,bal-petra,Petra,attested-ancient,"Pliny, Naturalis historia 12.102","The Petraean grade, black-shelled with a white kernel, is ranked far above the others.",incense,project-plot,697725,Petra,https://pleiades.stoa.org/places/697725,30.33,35.44
nardinon,omphacine,omphacine oil,ἔλαιον ὀμφάκινον,member,Role in nardinon: alternative base oil (Dsc 1.62). Ingredient-level claim reused from the project dataset.,omph-local,Egyptian workshop context — source unstated,inference-modern,"Dioscorides, De materia medica 1.59; Paul of Aegina, Epitome 7.20.16",The recipe is Egyptian; neither checked passage states that the omphacine oil itself was pressed in or originated from Egypt. [Pleiades match: workshop context; conventional plotting point],,project-plot,,,,29.9,31
nardinon,schoinos,aromatic rush / rush-flower,σχοῖνος / σχοίνου ἄνθος,member,Role in nardinon: styptic thickening of the oil (Dsc 1.62). Ingredient-level claim reused from the project dataset.,rush-nabataea,Nabataea,attested-ancient,"Dioscorides, De materia medica 1.17",The Nabataean rush is ranked best.,incense,project-plot,29677,Nabataea (region),https://pleiades.stoa.org/places/29677,30.7,35.1
nardinon,schoinos,aromatic rush / rush-flower,σχοῖνος / σχοίνου ἄνθος,member,Role in nardinon: styptic thickening of the oil (Dsc 1.62). Ingredient-level claim reused from the project dataset.,rush-arabia,Arabia,attested-ancient,"Dioscorides, De materia medica 1.17",The Arabian rush is ranked second.,incense,project-plot,29475,Arabia (region),https://pleiades.stoa.org/places/29475,25.2,42.3
nardinon,schoinos,aromatic rush / rush-flower,σχοῖνος / σχοίνου ἄνθος,member,Role in nardinon: styptic thickening of the oil (Dsc 1.62). Ingredient-level claim reused from the project dataset.,rush-libya,Libya,attested-ancient,"Dioscorides, De materia medica 1.17",The Libyan rush is named but dismissed as useless.,med,project-plot,716588,Libya,https://pleiades.stoa.org/places/716588,31.2,15.7
nardinon,schoinos,aromatic rush / rush-flower,σχοῖνος / σχοίνου ἄνθος,member,Role in nardinon: styptic thickening of the oil (Dsc 1.62). Ingredient-level claim reused from the project dataset.,rush-lebanon,Valley beyond Lebanon,attested-ancient,"Theophrastus, Historia plantarum 9.7.1; Pliny, Naturalis historia 12.104–106",Aromatic rush and reed are said to grow in a valley beyond Lebanon beside a seasonal lake.,syria,project-plot,668288,Koile Syria/Massyas,https://pleiades.stoa.org/places/668288,33.7,35.8
nardinon,schoinos,aromatic rush / rush-flower,σχοῖνος / σχοίνου ἄνθος,member,Role in nardinon: styptic thickening of the oil (Dsc 1.62). Ingredient-level claim reused from the project dataset.,rush-campania,Campania — reported,attested-ancient,"Pliny, Naturalis historia 12.106",Pliny reports that the fragrant rush is also found in Campania.,med,project-plot,432742,Campania,https://pleiades.stoa.org/places/432742,40.8,14.7
