perfume,ingredient_id,ingredient,taxon,range_summary,label,point_kind,powo,gbif,lat,lon
susinum,balanos,balanos oil / perfumers’ balanos nut,Moringa peregrina,"Red Sea basin and adjacent deserts: Eastern Desert and Sinai, Sudan, Eritrea, Horn of Africa, W and S Arabia, Dead Sea/Wadi Araba, east to S Iran.",Sinai / Hijaz Red Sea coasts,range-representative (not an occurrence record),https://powo.science.kew.org/results?q=Moringa+peregrina,https://www.gbif.org/species/search?q=Moringa+peregrina,27.0,35.0
susinum,myrrh,myrrh,Commiphora myrrha,"Horn of Africa (Somalia/Somaliland, E Ethiopia, Djibouti, N Kenya) and S Arabia (Yemen, SW Saudi Arabia, Dhofar).",Somaliland,range-representative (not an occurrence record),https://powo.science.kew.org/results?q=Commiphora+myrrha,https://www.gbif.org/species/search?q=Commiphora+myrrha,9.5,45.5
susinum,myrrh,myrrh,Commiphora myrrha,"Horn of Africa (Somalia/Somaliland, E Ethiopia, Djibouti, N Kenya) and S Arabia (Yemen, SW Saudi Arabia, Dhofar).",Yemen highland margin,range-representative (not an occurrence record),https://powo.science.kew.org/results?q=Commiphora+myrrha,https://www.gbif.org/species/search?q=Commiphora+myrrha,13.8,44.8
susinum,cassia,cassia / cassia quill or tube,Cinnamomum cassia,"Native to S China (Guangxi, Guangdong, Yunnan) and N Vietnam; cultivated across S China and mainland SE Asia.","Guangxi, China",range-representative (not an occurrence record),https://powo.science.kew.org/results?q=Cinnamomum+cassia,https://www.gbif.org/species/search?q=Cinnamomum+cassia,22.8,108.3
susinum,cinnamon,cinnamon,Cinnamomum verum,Native to Sri Lanka (with SW Indian Western Ghats populations); cultivated pantropically.,SW Sri Lanka,range-representative (not an occurrence record),https://powo.science.kew.org/results?q=Cinnamomum+verum,https://www.gbif.org/species/search?q=Cinnamomum+verum,6.9,80.0
susinum,cardamom,cardamom,Elettaria cardamomum,Western Ghats of SW India (the 'Cardamom Hills'); major modern cultivation also in Guatemala.,"Cardamom Hills, Kerala",range-representative (not an occurrence record),https://powo.science.kew.org/results?q=Elettaria+cardamomum,https://www.gbif.org/species/search?q=Elettaria+cardamomum,9.8,77.1
susinum,kalamos,aromatic reed,Cymbopogon martinii or Acorus calamus,"C. martinii: Indian subcontinent. A. calamus: S and E Asian wetlands, anciently spread west. Identification disputed.","C. martinii — Deccan, India",range-representative (not an occurrence record),https://powo.science.kew.org/results?q=Cymbopogon+martinii+or+Acorus+calamus,https://www.gbif.org/species/search?q=Cymbopogon+martinii+or+Acorus+calamus,20.0,76.0
susinum,kalamos,aromatic reed,Cymbopogon martinii or Acorus calamus,"C. martinii: Indian subcontinent. A. calamus: S and E Asian wetlands, anciently spread west. Identification disputed.",A. calamus — Gangetic plain,range-representative (not an occurrence record),https://powo.science.kew.org/results?q=Cymbopogon+martinii+or+Acorus+calamus,https://www.gbif.org/species/search?q=Cymbopogon+martinii+or+Acorus+calamus,25.5,85.0
susinum,honey,honey / Attic honey,Attic honey — place-defined product (not a taxon),"Mount Hymettus and Attica, Greece; modern Greek thyme-honey production continues in the same landscape.","Mount Hymettus, Attica",range-representative (not an occurrence record),https://powo.science.kew.org/results?q=Attic+honey+—+place-defined+product,https://www.gbif.org/species/search?q=Attic+honey+—+place-defined+product,37.95,23.8
susinum,saffron,saffron / Cilician saffron,Crocus sativus,Sterile cultigen with no wild range; all occurrences are cultivation. Wild progenitor C. cartwrightianus is native to Attica and the Cyclades/Crete.,"Kozani, Greece (cultivation)",range-representative (not an occurrence record),https://powo.science.kew.org/results?q=Crocus+sativus,https://www.gbif.org/species/search?q=Crocus+sativus,40.3,21.8
susinum,saffron,saffron / Cilician saffron,Crocus sativus,Sterile cultigen with no wild range; all occurrences are cultivation. Wild progenitor C. cartwrightianus is native to Attica and the Cyclades/Crete.,"Khorasan, Iran (cultivation)",range-representative (not an occurrence record),https://powo.science.kew.org/results?q=Crocus+sativus,https://www.gbif.org/species/search?q=Crocus+sativus,35.5,59.5
susinum,saffron,saffron / Cilician saffron,Crocus sativus,Sterile cultigen with no wild range; all occurrences are cultivation. Wild progenitor C. cartwrightianus is native to Attica and the Cyclades/Crete.,C. cartwrightianus — Attica,range-representative (not an occurrence record),https://powo.science.kew.org/results?q=Crocus+sativus,https://www.gbif.org/species/search?q=Crocus+sativus,37.9,23.8
susinum,lily,lily,Lilium candidum,"East Mediterranean native: Lebanon, Israel/Palestine, W Syria, S Turkey, with Balkan outliers; long naturalized more widely.",Mount Lebanon,range-representative (not an occurrence record),https://powo.science.kew.org/results?q=Lilium+candidum,https://www.gbif.org/species/search?q=Lilium+candidum,34.0,35.8
