perfume,ingredient_id,ingredient,taxon,range_summary,label,point_kind,powo,gbif,lat,lon
nardinon,balanos,balanos oil / perfumers’ balanos nut,Moringa peregrina,"Red Sea basin and adjacent deserts: Eastern Desert and Sinai, Sudan, Eritrea, Horn of Africa, W and S Arabia, Dead Sea/Wadi Araba, east to S Iran.",Sinai / Hijaz Red Sea coasts,range-representative (not an occurrence record),https://powo.science.kew.org/results?q=Moringa+peregrina,https://www.gbif.org/species/search?q=Moringa+peregrina,27.0,35.0
nardinon,omphacine,omphacine oil,Olea europaea,Native and anciently cultivated across the Mediterranean basin; Ptolemaic-period pressing attested in the Fayum.,Mediterranean basin (representative),range-representative (not an occurrence record),https://powo.science.kew.org/results?q=Olea+europaea,https://www.gbif.org/species/search?q=Olea+europaea,37.0,22.0
nardinon,schoinos,aromatic rush / rush-flower,Cymbopogon schoenanthus,Saharo-Arabian dry belt: North Africa and the Sahara through Arabia to NW India.,"Hijaz, W Arabia",range-representative (not an occurrence record),https://powo.science.kew.org/results?q=Cymbopogon+schoenanthus,https://www.gbif.org/species/search?q=Cymbopogon+schoenanthus,22.0,40.0
nardinon,myrrh,myrrh,Commiphora myrrha,"Horn of Africa (Somalia/Somaliland, E Ethiopia, Djibouti, N Kenya) and S Arabia (Yemen, SW Saudi Arabia, Dhofar).",Somaliland,range-representative (not an occurrence record),https://powo.science.kew.org/results?q=Commiphora+myrrha,https://www.gbif.org/species/search?q=Commiphora+myrrha,9.5,45.5
nardinon,myrrh,myrrh,Commiphora myrrha,"Horn of Africa (Somalia/Somaliland, E Ethiopia, Djibouti, N Kenya) and S Arabia (Yemen, SW Saudi Arabia, Dhofar).",Yemen highland margin,range-representative (not an occurrence record),https://powo.science.kew.org/results?q=Commiphora+myrrha,https://www.gbif.org/species/search?q=Commiphora+myrrha,13.8,44.8
nardinon,balsam,balsam fruit / balsam seed,unknown — Commiphora gileadensis?,If the identification holds: S Arabian Peninsula and parts of the Horn; anciently estate-grown at Jericho and En Gedi. Identification open.,SW Arabia,range-representative (not an occurrence record),https://powo.science.kew.org/results?q=unknown+—+Commiphora+gileadensis?,https://www.gbif.org/species/search?q=unknown+—+Commiphora+gileadensis?,13.5,44.5
nardinon,nardos,spikenard,Nardostachys jatamansi,"Alpine Himalaya c. 3000–5000 m: Uttarakhand–Sikkim (India), Nepal, Bhutan, SE Xizang and NW Yunnan (China). CITES App. II.",Central Nepal Himalaya,range-representative (not an occurrence record),https://powo.science.kew.org/results?q=Nardostachys+jatamansi,https://www.gbif.org/species/search?q=Nardostachys+jatamansi,28.5,84.0
nardinon,malabathron,malabathron,Cinnamomum tamala,"Himalayan foothills and NE India: N India, Nepal, Bhutan, Myanmar, SW China (tejpat leaf).",Eastern Himalayan foothills,range-representative (not an occurrence record),https://powo.science.kew.org/results?q=Cinnamomum+tamala,https://www.gbif.org/species/search?q=Cinnamomum+tamala,27.5,88.5
nardinon,kostos,kostos,Saussurea costus (accepted: Dolomiaea costus),"Western Himalaya: Kashmir, Himachal Pradesh, Uttarakhand; cultivated in India and China. CITES App. I.",Kashmir Himalaya,range-representative (not an occurrence record),https://powo.science.kew.org/results?q=Saussurea+costus,https://www.gbif.org/species/search?q=Saussurea+costus,33.5,76.0
nardinon,amomon,amomon,Amomum subulatum,"Eastern Himalaya: Nepal, Sikkim/Darjeeling, Bhutan (large/black cardamom).",Sikkim,range-representative (not an occurrence record),https://powo.science.kew.org/results?q=Amomum+subulatum,https://www.gbif.org/species/search?q=Amomum+subulatum,27.3,88.4
