perfume,ingredient_id,ingredient,greek,membership,membership_note,claim_id,place,evidence,cite,note,route,point_source,pleiades_id,pleiades_title,pleiades_uri,lat,lon
susinum,balanos,balanos oil / perfumers’ balanos nut,ἔλαιον βαλάνινον / βάλανος μυρεψική,member,,bal-trog,Troglodytic coast,attested-ancient,"Pliny, Naturalis historia 12.100–102","Common to the Troglodytes; the Troglodytic grade is described as the cheapest. This maps the ancient grade claim, not a modern species range.",redsea,project-plot,39435,Trogodytice,https://pleiades.stoa.org/places/39435,17.5,38.5
susinum,balanos,balanos oil / perfumers’ balanos nut,ἔλαιον βαλάνινον / βάλανος μυρεψική,member,,bal-thebaid,Thebaid,attested-ancient,"Pliny, Naturalis historia 12.100–101",The Thebaid grade is black and abundant.,nile,project-plot,786131,Thebais,https://pleiades.stoa.org/places/786131,25.7,32.7
susinum,balanos,balanos oil / perfumers’ balanos nut,ἔλαιον βαλάνινον / βάλανος μυρεψική,member,,bal-arabia,Arabia between Judaea and Egypt,attested-ancient,"Pliny, Naturalis historia 12.100–101",Pliny locates an Arabian grade in the tract separating Judaea from Egypt and says the Arabian kind is called ‘Syrian’. [Pleiades match: Pliny's phrase; the Nabataean zone is the referent],incense,project-plot,29677,Nabataea (region),https://pleiades.stoa.org/places/29677,29,35.3
susinum,balanos,balanos oil / perfumers’ balanos nut,ἔλαιον βαλάνινον / βάλανος μυρεψική,member,,bal-ethiopia,Ethiopia,attested-ancient,"Pliny, Naturalis historia 12.101",Some authorities preferred an Ethiopian black grade.,redsea,project-plot,39274,Aethiopia,https://pleiades.stoa.org/places/39274,10.3,39
susinum,balanos,balanos oil / perfumers’ balanos nut,ἔλαιον βαλάνινον / βάλανος μυρεψική,member,,bal-egypt,Egypt,attested-ancient,"Pliny, Naturalis historia 12.102","The Egyptian grade is red, thick-shelled, and associated with swampy ground.",nile,project-plot,981503,Ancient Egypt (region),https://pleiades.stoa.org/places/981503,27.4,30.7
susinum,balanos,balanos oil / perfumers’ balanos nut,ἔλαιον βαλάνινον / βάλανος μυρεψική,member,,bal-petra,Petra,attested-ancient,"Pliny, Naturalis historia 12.102","The Petraean grade, black-shelled with a white kernel, is ranked far above the others.",incense,project-plot,697725,Petra,https://pleiades.stoa.org/places/697725,30.33,35.44
susinum,myrrh,myrrh,σμύρνα,member,,myrrh-trog,Troglodytic coast,attested-ancient,"Dioscorides, De materia medica 1.64; Pliny, Naturalis historia 12.69–70",Both traditions rank a Troglodytic grade highly; Pliny makes it the first grade.,redsea,project-plot,39435,Trogodytice,https://pleiades.stoa.org/places/39435,16.2,39.1
susinum,myrrh,myrrh,σμύρνα,member,,myrrh-arabia,South Arabia,attested-ancient,"Dioscorides, De materia medica 1.64; Pliny, Naturalis historia 12.66, 12.69–70","Arabian claim. Pliny’s grade names include Minaean, Atramitic, Gebbanitic, Ausaritis, Dianitis, Sambracena, Dusaritis, and Mesalum; their precise point locations are not invented here. [Pleiades match: generic 'South Arabia'; Saba is the nearest Pleiades region (cf. Minaei, 39386)]",incense,project-plot,39417,Saba,https://pleiades.stoa.org/places/39417,15.4,44.2
susinum,cassia,cassia / cassia quill or tube,κασσία / κασία / σύριγξ,substitution-register,"No witness lists cassia in susinum; it enters only through Paul of Aegina's substitution rule (7.20.8, with Galen): cassia at double weight stands in for cinnamon.",cassia-arabia,Arabia — ancient claim,attested-ancient,"Herodotus, Histories 3.110; Theophrastus, Historia plantarum 9.7.2; Dioscorides, De materia medica 1.13","Herodotus, Theophrastus, and Dioscorides place cassia in Arabia or ‘aromatic-bearing Arabia’.",incense,project-plot,29475,Arabia (region),https://pleiades.stoa.org/places/29475,22.6,45
susinum,cassia,cassia / cassia quill or tube,κασσία / κασία / σύριγξ,substitution-register,"No witness lists cassia in susinum; it enters only through Paul of Aegina's substitution rule (7.20.8, with Galen): cassia at double weight stands in for cinnamon.",cassia-trog,Ethiopia / Troglodytic cinnamon fields,attested-ancient,"Pliny, Naturalis historia 12.86, 12.95","Pliny rejects Arabia for cinnamon, places its fields among Ethiopian Troglodytes, and says cassia grows beside them. [Pleiades match: project point is a conventional Red Sea anchor; the Pleiades region sits at the Horn of Africa]",redsea,project-plot,39361,Kinnamomophoros Chora,https://pleiades.stoa.org/places/39361,14.6,40
